II,III,LAUNCE,"It is no matter if the tied were lost; for it is the"
II,III,LAUNCE,"unkindest tied that ever any man tied."
II,III,PANTHINO,"What's the unkindest tide?"
II,III,LAUNCE,"Why, he that's tied here, Crab, my dog."
II,III,PANTHINO,"Tut, man, I mean thou'lt lose the flood, and, in"
II,III,PANTHINO,"losing the flood, lose thy voyage, and, in losing"
II,III,PANTHINO,"thy voyage, lose thy master, and, in losing thy"
II,III,PANTHINO,"master, lose thy service, and, in losing thy"
II,III,PANTHINO,"service,--Why dost thou stop my mouth?"
II,III,LAUNCE,"For fear thou shouldst lose thy tongue."
II,III,PANTHINO,"Where should I lose my tongue?"
II,III,LAUNCE,"In thy tale."
II,III,PANTHINO,"In thy tail!"
II,III,LAUNCE,"Lose the tide, and the voyage, and the master, and"
II,III,LAUNCE,"the service, and the tied! Why, man, if the river"
II,III,LAUNCE,"were dry, I am able to fill it with my tears; if the"
II,III,LAUNCE,"wind were down, I could drive the boat with my sighs."
II,III,PANTHINO,"Come, come away, man; I was sent to call thee."
II,III,LAUNCE,"Sir, call me what thou darest."
II,III,PANTHINO,"Wilt thou go?"
II,III,LAUNCE,"Well, I will go."
II,IV,SILVIA,"Servant!"
II,IV,VALENTINE,"Mistress?"
II,IV,SPEED,"Master, Sir Thurio frowns on you."
II,IV,VALENTINE,"Ay, boy, it's for love."
II,IV,SPEED,"Not of you."
II,IV,VALENTINE,"Of my mistress, then."
II,IV,SPEED,"'Twere good you knocked him."
II,IV,SILVIA,"Servant, you are sad."
II,IV,VALENTINE,"Indeed, madam, I seem so."
II,IV,THURIO,"Seem you that you are not?"
II,IV,VALENTINE,"Haply I do."
II,IV,THURIO,"So do counterfeits."
II,IV,VALENTINE,"So do you."
II,IV,THURIO,"What seem I that I am not?"
II,IV,VALENTINE,"Wise."
II,IV,THURIO,"What instance of the contrary?"
II,IV,VALENTINE,"Your folly."
II,IV,THURIO,"And how quote you my folly?"
II,IV,VALENTINE,"I quote it in your jerkin."
II,IV,THURIO,"My jerkin is a doublet."
II,IV,VALENTINE,"Well, then, I'll double your folly."
II,IV,THURIO,"How?"
II,IV,SILVIA,"What, angry, Sir Thurio! do you change colour?"
II,IV,VALENTINE,"Give him leave, madam; he is a kind of chameleon."
II,IV,THURIO,"That hath more mind to feed on your blood than live"
II,IV,THURIO,"in your air."
II,IV,VALENTINE,"You have said, sir."
II,IV,THURIO,"Ay, sir, and done too, for this time."
II,IV,VALENTINE,"I know it well, sir; you always end ere you begin."
II,IV,SILVIA,"A fine volley of words, gentlemen, and quickly shot off."
II,IV,VALENTINE,"'Tis indeed, madam; we thank the giver."
II,IV,SILVIA,"Who is that, servant?"
II,IV,VALENTINE,"Yourself, sweet lady; for you gave the fire. Sir"
II,IV,VALENTINE,"Thurio borrows his wit from your ladyship's looks,"
II,IV,VALENTINE,"and spends what he borrows kindly in your company."
II,IV,THURIO,"Sir, if you spend word for word with me, I shall"
II,IV,THURIO,"make your wit bankrupt."
II,IV,VALENTINE,"I know it well, sir; you have an exchequer of words,"
II,IV,VALENTINE,"and, I think, no other treasure to give your"
II,IV,VALENTINE,"followers, for it appears by their bare liveries,"
II,IV,VALENTINE,"that they live by your bare words."
II,IV,SILVIA,"No more, gentlemen, no more:--here comes my father."
II,IV,DUKE,"Now, daughter Silvia, you are hard beset."
II,IV,DUKE,"Sir Valentine, your father's in good health:"
II,IV,DUKE,"What say you to a letter from your friends"
II,IV,DUKE,"Of much good news?"
II,IV,VALENTINE,"My lord, I will be thankful."
II,IV,VALENTINE,"To any happy messenger from thence."
II,IV,DUKE,"Know ye Don Antonio, your countryman?"
II,IV,VALENTINE,"Ay, my good lord, I know the gentleman"
II,IV,VALENTINE,"To be of worth and worthy estimation"
II,IV,VALENTINE,"And not without desert so well reputed."
II,IV,DUKE,"Hath he not a son?"
II,IV,VALENTINE,"Ay, my good lord; a son that well deserves"
II,IV,VALENTINE,"The honour and regard of such a father."
II,IV,DUKE,"You know him well?"
II,IV,VALENTINE,"I know him as myself; for from our infancy"
II,IV,VALENTINE,"We have conversed and spent our hours together:"
II,IV,VALENTINE,"And though myself have been an idle truant,"
II,IV,VALENTINE,"Omitting the sweet benefit of time"
II,IV,VALENTINE,"To clothe mine age with angel-like perfection,"
II,IV,VALENTINE,"Yet hath Sir Proteus, for that's his name,"
II,IV,VALENTINE,"Made use and fair advantage of his days;"
II,IV,VALENTINE,"His years but young, but his experience old;"
II,IV,VALENTINE,"His head unmellow'd, but his judgment ripe;"
II,IV,VALENTINE,"And, in a word, for far behind his worth"
II,IV,VALENTINE,"Comes all the praises that I now bestow,"
II,IV,VALENTINE,"He is complete in feature and in mind"
II,IV,VALENTINE,"With all good grace to grace a gentleman."
II,IV,DUKE,"Beshrew me, sir, but if he make this good,"
II,IV,DUKE,"He is as worthy for an empress' love"
II,IV,DUKE,"As meet to be an emperor's counsellor."
II,IV,DUKE,"Well, sir, this gentleman is come to me,"
II,IV,DUKE,"With commendation from great potentates;"
II,IV,DUKE,"And here he means to spend his time awhile:"
II,IV,DUKE,"I think 'tis no unwelcome news to you."
II,IV,VALENTINE,"Should I have wish'd a thing, it had been he."
II,IV,DUKE,"Welcome him then according to his worth."
II,IV,DUKE,"Silvia, I speak to you, and you, Sir Thurio;"
II,IV,DUKE,"For Valentine, I need not cite him to it:"
II,IV,DUKE,"I will send him hither to you presently."
II,IV,VALENTINE,"This is the gentleman I told your ladyship"
II,IV,VALENTINE,"Had come along with me, but that his mistress"
II,IV,VALENTINE,"Did hold his eyes lock'd in her crystal looks."
II,IV,SILVIA,"Belike that now she hath enfranchised them"
II,IV,SILVIA,"Upon some other pawn for fealty."
II,IV,VALENTINE,"Nay, sure, I think she holds them prisoners still."
II,IV,SILVIA,"Nay, then he should be blind; and, being blind"
II,IV,SILVIA,"How could he see his way to seek out you?"
II,IV,VALENTINE,"Why, lady, Love hath twenty pair of eyes."
II,IV,THURIO,"They say that Love hath not an eye at all."
II,IV,VALENTINE,"To see such lovers, Thurio, as yourself:"
II,IV,VALENTINE,"Upon a homely object Love can wink."
II,IV,SILVIA,"Have done, have done; here comes the gentleman."
II,IV,VALENTINE,"Welcome, dear Proteus! Mistress, I beseech you,"
II,IV,VALENTINE,"Confirm his welcome with some special favour."
II,IV,SILVIA,"His worth is warrant for his welcome hither,"
II,IV,SILVIA,"If this be he you oft have wish'd to hear from."
II,IV,VALENTINE,"Mistress, it is: sweet lady, entertain him"
II,IV,VALENTINE,"To be my fellow-servant to your ladyship."
II,IV,SILVIA,"Too low a mistress for so high a servant."
II,IV,PROTEUS,"Not so, sweet lady: but too mean a servant"
II,IV,PROTEUS,"To have a look of such a worthy mistress."
II,IV,VALENTINE,"Leave off discourse of disability:"
II,IV,VALENTINE,"Sweet lady, entertain him for your servant."
II,IV,PROTEUS,"My duty will I boast of; nothing else."
II,IV,SILVIA,"And duty never yet did want his meed:"
II,IV,SILVIA,"Servant, you are welcome to a worthless mistress."
II,IV,PROTEUS,"I'll die on him that says so but yourself."
II,IV,SILVIA,"That you are welcome?"
II,IV,PROTEUS,"That you are worthless."
II,IV,THURIO,"Madam, my lord your father would speak with you."
II,IV,SILVIA,"I wait upon his pleasure. Come, Sir Thurio,"
II,IV,SILVIA,"Go with me. Once more, new servant, welcome:"
II,IV,SILVIA,"I'll leave you to confer of home affairs;"
II,IV,SILVIA,"When you have done, we look to hear from you."
II,IV,PROTEUS,"We'll both attend upon your ladyship."
II,IV,VALENTINE,"Now, tell me, how do all from whence you came?"
II,IV,PROTEUS,"Your friends are well and have them much commended."
II,IV,VALENTINE,"And how do yours?"
II,IV,PROTEUS,"I left them all in health."
II,IV,VALENTINE,"How does your lady? and how thrives your love?"
II,IV,PROTEUS,"My tales of love were wont to weary you;"
II,IV,PROTEUS,"I know you joy not in a love discourse."
II,IV,VALENTINE,"Ay, Proteus, but that life is alter'd now:"
II,IV,VALENTINE,"I have done penance for contemning Love,"
II,IV,VALENTINE,"Whose high imperious thoughts have punish'd me"
II,IV,VALENTINE,"With bitter fasts, with penitential groans,"
II,IV,VALENTINE,"With nightly tears and daily heart-sore sighs;"
II,IV,VALENTINE,"For in revenge of my contempt of love,"
II,IV,VALENTINE,"Love hath chased sleep from my enthralled eyes"
II,IV,VALENTINE,"And made them watchers of mine own heart's sorrow."
II,IV,VALENTINE,"O gentle Proteus, Love's a mighty lord,"
II,IV,VALENTINE,"And hath so humbled me, as, I confess,"
II,IV,VALENTINE,"There is no woe to his correction,"
II,IV,VALENTINE,"Nor to his service no such joy on earth."
II,IV,VALENTINE,"Now no discourse, except it be of love;"
II,IV,VALENTINE,"Now can I break my fast, dine, sup and sleep,"
II,IV,VALENTINE,"Upon the very naked name of love."
II,IV,PROTEUS,"Enough; I read your fortune in your eye."
II,IV,PROTEUS,"Was this the idol that you worship so?"
II,IV,VALENTINE,"Even she; and is she not a heavenly saint?"
II,IV,PROTEUS,"No; but she is an earthly paragon."
II,IV,VALENTINE,"Call her divine."
II,IV,PROTEUS,"I will not flatter her."
II,IV,VALENTINE,"O, flatter me; for love delights in praises."
II,IV,PROTEUS,"When I was sick, you gave me bitter pills,"
II,IV,PROTEUS,"And I must minister the like to you."
II,IV,VALENTINE,"Then speak the truth by her; if not divine,"
II,IV,VALENTINE,"Yet let her be a principality,"
II,IV,VALENTINE,"Sovereign to all the creatures on the earth."
II,IV,PROTEUS,"Except my mistress."
II,IV,VALENTINE,"Sweet, except not any;"
II,IV,VALENTINE,"Except thou wilt except against my love."
II,IV,PROTEUS,"Have I not reason to prefer mine own?"
II,IV,VALENTINE,"And I will help thee to prefer her too:"
II,IV,VALENTINE,"She shall be dignified with this high honour--"
II,IV,VALENTINE,"To bear my lady's train, lest the base earth"
II,IV,VALENTINE,"Should from her vesture chance to steal a kiss"
II,IV,VALENTINE,"And, of so great a favour growing proud,"
II,IV,VALENTINE,"Disdain to root the summer-swelling flower"
II,IV,VALENTINE,"And make rough winter everlastingly."
II,IV,PROTEUS,"Why, Valentine, what braggardism is this?"
II,IV,VALENTINE,"Pardon me, Proteus: all I can is nothing"
II,IV,VALENTINE,"To her whose worth makes other worthies nothing;"
II,IV,VALENTINE,"She is alone."
II,IV,PROTEUS,"Then let her alone."
